hashtag,parent_hashtag,category,w1,3d1,3d2,3d3,zipper,charging
gomatsumoto,basketball,object,False,True,True,False,False,False
gorilla,animal,object,False,False,True,False,False,False
grandtheftauto,game,object,False,False,False,True,True,True
greatwall,nature,object,False,True,False,False,False,False
grimreaper,cool,object,True,True,True,False,False,False
grinch,christmas,object,False,True,False,False,False,False
gumballwatterson,theamazingworldofgumball,object,False,False,False,True,True,True
gun,weapon,object,True,True,False,False,False,False
gundam,film,object,True,True,True,True,True,True
gunter,adventuretime,object,False,False,False,True,True,True
gwenstacy,film,object,False,True,False,False,False,False
gyoumei,demonslayer,object,True,False,False,False,False,False
haaland,football,object,False,True,True,False,False,False
hacipupu,popmart,object,False,False,False,True,True,True
hacker,cool,object,True,True,False,True,True,True
haikyu,anime,object,False,False,False,True,True,True
haitinationalteam,football,object,False,True,False,False,False,False
hakuikoyori,hololive,object,False,True,False,False,False,False
halloween,holiday,object,True,True,True,True,True,True
halo,game,object,True,False,False,True,True,True
halongbay,vietnam,object,False,True,True,False,False,False
hamster,pet,object,False,False,False,True,True,True
hanuman,hindugods,object,False,True,True,False,False,False
hanumanjayanti,hindugods,object,False,False,False,True,True,True
harleyquinn,dc,object,True,True,True,False,False,False
harrykane,football,object,True,True,True,True,True,True
harrypotter,film,object,True,False,False,False,False,False
hatsunemiku,anime,object,True,False,False,False,False,False
heart,love,object,True,True,True,True,True,True
hellokitty,sanrio,object,True,True,True,True,True,True
himikotoga,myheroacademia,object,True,False,False,True,True,True
hinata,narutoshippuden,object,False,False,False,True,True,True
hindufestivals,holiday,object,False,True,False,False,False,False
hindugods,religion,object,True,True,True,True,True,True
hiromi,jujutsukaisen,object,True,False,False,False,False,False
hiromihiguruma,jujutsukaisen,object,False,False,True,False,False,False
hirono,cartoon,object,False,True,False,False,False,False
holiday,,object,True,True,True,True,True,True
holidhuleti,holiday,object,True,True,True,True,True,True
hollowknight,game,object,True,True,True,True,True,True
hololive,anime,object,True,True,True,True,True,True
home,scenery,object,False,False,False,True,True,True
honda,car,object,False,True,False,False,False,False
honkaistarrail,game,object,False,True,False,False,False,False
hoppers,cartoon,object,True,True,True,True,True,True
horimiya,anime,object,False,True,False,False,False,False
hornet,hollowknight,object,False,True,False,False,False,False
horse,animal,object,True,True,True,True,True,True
hoshimachisuisei,hololive,object,False,True,True,False,False,False
hoshino,anime,object,False,True,False,False,False,False
hotrod,car,object,False,False,True,False,False,False
houshoumarine,hololive,object,False,True,False,False,False,False
howl'smovingcastle,anime,object,False,True,False,False,False,False
howtotrainyourdragon,cartoon,object,False,True,True,True,True,True
hulk,film,object,True,False,True,True,True,True
humans,,object,False,False,False,True,True,True
huntermonsterkpop,cartoon,object,True,False,False,False,False,False
hunterxhunter,anime,object,True,True,True,True,True,True
hydrangea,flowers,object,True,False,False,False,False,False
iceage,cartoon,object,False,False,False,True,True,True
icecave,nature,object,True,False,False,False,False,False
iceking,adventuretime,object,False,False,False,True,True,True
ichigokurosaki,anime,object,False,True,False,True,True,True
independenceday,holiday,object,True,True,True,True,True,True
inosuke,demonslayer,object,True,True,True,False,False,False
inosukehashibira,demonslayer,object,False,False,False,True,True,True
insideout,film,object,False,False,True,True,True,True
inspire,quote,object,True,True,True,False,False,False
intermiami,football,object,False,False,False,True,True,True
internacional,football,object,True,False,True,False,False,False
invincible,film,object,False,True,False,False,False,False
iphonewallpaper,abstract,object,True,True,True,True,True,True
ipl,cricket,object,False,True,True,False,False,False
irannationalteam,football,object,False,True,False,False,False,False
iraqnationalteam,football,object,False,True,False,False,False,False
ironman,marvel,object,True,True,True,True,True,True
it,film,object,True,True,True,True,True,True
itachi,naruto,object,True,True,True,True,True,True
itadori,jujutsukaisen,object,True,True,True,False,False,False
ivorycoastnationalteam,football,object,False,True,False,False,False,False
izuku,myheroacademia,object,True,False,True,True,True,True
jackskellington,nightmarebeforechristmas,object,True,True,True,True,True,True
jacksparrow,piratesofthecaribbean,object,False,False,True,False,False,False
jake,adventuretime,object,False,False,False,True,True,True
janniksinner,tennis,object,True,True,True,False,False,False
japan,religion,object,True,True,True,False,False,False
japannationalteam,football,object,False,True,False,False,False,False
jasonvoorhees,fridaythe13th,object,True,True,True,True,True,True
jellyfish,animal,object,True,True,True,False,False,False
jinmori,thegodofhighschool,object,False,False,False,True,True,True
jinx,lol,object,False,True,True,True,True,True
jiraiya,naruto,object,False,False,True,True,True,True
joeswanson,familyguy,object,False,False,False,True,True,True
jojo,jojo'sbizarreadventure,object,True,False,False,False,False,False
jojo'sbizarreadventure,anime,object,True,False,False,False,False,False
joker,dc,object,True,True,True,True,True,True
jordannationalteam,football,object,False,True,False,False,False,False
jpn,football,object,False,False,False,True,True,True
judebellingham,football,object,True,True,True,True,True,True
judyhopps,zootopia,object,False,True,False,False,False,False
juicewrld,people,object,True,True,True,True,True,True
jujutsukaisen,anime,object,True,True,True,True,True,True
juventude,football,object,False,True,True,False,False,False
juventus,football,object,True,True,False,True,True,True
kaitokid,conan,object,False,False,False,True,True,True
kakashi,naruto,object,True,True,True,True,True,True
kaleidoscope,abstract,object,False,False,True,False,False,False
kanao,demonslayer,object,False,True,False,False,False,False
kanekiken,tokyoghoul,object,True,True,True,False,False,False
kanrojimitsuri,demonslayer,object,False,True,True,False,False,False
kentakakura,dandadan,object,False,False,False,True,True,True
kevinalvarez,football,object,False,False,True,False,False,False
khabylame,people,object,True,False,False,False,False,False
kibutsujimuzan,demonslayer,object,False,True,True,False,False,False
kiki'sdeliveryservice,anime,object,False,True,False,False,False,False
killuazoldyck,hunterxhunter,object,True,True,True,False,False,False
king,humans,object,False,False,False,True,True,True
kingdomhearts,game,object,True,True,True,False,False,False
kingkong,film,object,False,False,False,True,True,True
kingvon,people,object,True,True,True,True,True,True
knight,warrior,object,False,True,True,True,True,True
kokushibo,demonslayer,object,False,True,False,False,False,False
kor,football,object,False,False,False,True,True,True
korea,religion,object,True,False,False,False,False,False
koreanationalteam,football,object,True,True,False,False,False,False
koreanfootball,football,object,False,True,True,False,False,False
korone,hololive,object,True,False,False,False,False,False
kpop,humans,object,False,False,False,True,True,True
kpopdemonhunter,game,object,True,True,True,True,True,True
kungfupanda,cartoon,object,False,False,True,True,True,True
kurokonobasket,anime,object,False,False,False,True,True,True
kuromi,sanrio,object,True,True,True,True,True,True
kusuriyanohitorigoto,anime,object,True,True,False,False,False,False
labubu,other,object,True,True,True,True,True,True
ladygaga,people,object,False,True,True,False,False,False
lake,nature,object,True,False,False,False,False,False
laliga,football,object,True,False,True,False,False,False
lamborghini,car,object,False,True,True,True,True,True
lamineyamal,football,object,True,True,False,True,True,True
landscape,nature,object,True,True,True,True,True,True
lanmewko,game,object,False,False,True,False,False,False
laura,cartoon,object,False,True,False,False,False,False
leaf,nature,object,False,True,True,True,True,True
leagueoflegends,game,object,False,False,False,True,True,True
lebronjames,basketball,object,False,True,False,False,False,False
lego,other,object,False,False,False,True,True,True
leicestercity,football,object,False,True,True,False,False,False
lent,holiday,object,False,True,False,False,False,False
leo,zodiac,object,True,False,True,False,False,False
leopard,animal,object,False,True,True,True,True,True
levi,attackontitan,object,False,True,False,False,False,False
leviackerman,attackontitan,object,True,False,False,True,True,True
lewandowski,football,object,True,True,False,False,False,False
libra,zodiac,object,True,False,True,False,False,False
lifequote,quote,object,False,False,False,True,True,True
lightningmcqueen,cars,object,True,False,False,True,True,True
lion,animal,object,True,True,True,True,True,True
liquid,abstract,object,False,False,True,False,False,False
littleprince,cartoon,object,False,True,False,False,False,False
littletwinstars,sanrio,object,False,False,False,True,True,True
live,other,object,True,False,False,False,False,False
liverpool,football,object,True,True,True,True,True,True
logo,other,object,True,False,False,True,True,True
loidforger,spyxfamily,object,True,False,False,True,True,True
lokahchapter1,film,object,False,True,False,False,False,False
lokahchapter1chandra,film,object,False,False,False,True,True,True
lol,game,object,True,True,True,False,False,False
losangelesdodgers,baseball,object,True,False,False,False,False,False
lotus,flowers,object,True,True,True,True,True,True
louisvuitton,logo,object,True,False,False,False,False,False
love,,object,True,True,True,True,True,True
lovequote,quote,object,False,False,False,True,True,True
lucykushinada,anime,object,False,True,False,False,False,False
luffy,onepiece,object,True,True,True,True,True,True
luma,mario,object,False,False,True,False,False,False
madara,naruto,object,True,False,False,True,True,True
madarauchiha,naruto,object,False,False,True,False,False,False
majinbuu,dragonball,object,False,False,True,True,True,True
